transaction_id,transaction_timestamp,product_id,warehouse,transaction_type,quantity
TRX-00383,2026-08-19T19:32:00,P4001,San Jose,SALE,3
TRX-00384,2026-08-14T07:10:00,P5001,San Jose,RECEIPT,19
TRX-00385,2026-08-16T02:33:00,P2002,Cartago,ADJUSTMENT,-2
TRX-00386,2026-08-28T10:35:00,P5001,Cartago,RECEIPT,22
TRX-00387,2026-08-22T18:41:00,P1003,San Jose,SALE,2
TRX-00388,2026-08-08T15:42:00,P3003,Heredia,ADJUSTMENT,-3
TRX-00389,2026-09-06T06:59:00,P4002,Heredia,ADJUSTMENT,0
TRX-00390,2026-08-04T19:02:00,P1001,Heredia,RETURN,1
TRX-00391,2026-09-03T01:36:00,P4003,Cartago,SALE,4
TRX-00392,2026-09-08T06:40:00,P3003,Heredia,SALE,8
TRX-00393,2026-08-21T22:15:00,P2001,Heredia,SALE,5
TRX-00394,2026-08-30T17:03:00,P2003,San Jose,SALE,2
TRX-00395,2026-08-10T00:21:00,P3001,Heredia,SALE,8
TRX-00396,2026-09-01T15:55:00,P1003,Cartago,SALE,6
TRX-00397,2026-08-23T07:35:00,P2003,San Jose,RECEIPT,33
TRX-00398,2026-08-12T17:28:00,P2002,San Jose,RECEIPT,17
TRX-00399,2026-09-10T16:24:00,P1003,Heredia,RECEIPT,28
TRX-00400,2026-09-05T01:20:00,P2003,Heredia,RECEIPT,20
TRX-00401,2026-08-22T14:32:00,P4002,Cartago,UNKNOWN,3
TRX-00402,2026-08-02T07:05:00,P3001,Cartago,RETURN,4
TRX-00403,2026-08-10T12:37:00,P3002,Cartago,SALE,4
TRX-00404,2026-08-26T19:56:00,P1001,Heredia,RECEIPT,41
TRX-00405,2026-09-06T11:06:00,P4001,Cartago,SALE,1
TRX-00406,2026-09-02T22:25:00,P1003,Cartago,RETURN,3
TRX-00407,2026-08-16T19:35:00,P1001,Cartago,SALE,4
TRX-00408,2026-09-02T22:35:00,P1002,Cartago,SALE,8
TRX-00409,2026-08-27T09:07:00,P5001,San Jose,ADJUSTMENT,5
TRX-00410,2026-08-25T03:23:00,P1002,San Jose,SALE,6
TRX-00411,2026-08-22T16:02:00,P1004,San Jose,SALE,7
TRX-00412,2026-09-04T15:30:00,P1001,Heredia,RECEIPT,31
TRX-00413,2026-08-07T07:20:00,P3001,Heredia,RECEIPT,42
TRX-00414,2026-09-01T21:53:00,P2002,Cartago,RECEIPT,49
TRX-00415,2026-08-31T13:36:00,P3003,Cartago,SALE,8
TRX-00416,2026-08-15T11:43:00,P3001,San Jose,RETURN,3
TRX-00417,2026-08-26T19:30:00,P2003,Cartago,SALE,1
TRX-00418,2026-09-01T02:03:00,P4001,Heredia,SALE,4
TRX-00419,2026-09-01T02:39:00,P3001,Cartago,RECEIPT,50
TRX-00420,2026-08-02T16:36:00,P1003,Heredia,RETURN,2
TRX-00421,2026-08-14T17:26:00,P1002,San Jose,RECEIPT,38
TRX-00422,2026-08-22T17:49:00,P2003,Heredia,SALE,7
TRX-00423,2026-08-31T10:08:00,P5002,Heredia,SALE,1
TRX-00424,2026-08-23T18:24:00,P1004,Cartago,SALE,8
TRX-00425,2026-08-24T15:22:00,P1003,Heredia,SALE,6
TRX-00426,2026-08-27T08:30:00,P4003,San Jose,RETURN,3
TRX-00427,2026-08-10T22:19:00,P1004,Cartago,SALE,5
TRX-00428,2026-08-14T20:30:00,P4002,Cartago,RECEIPT,41
TRX-00429,2026-08-13T14:07:00,P3002,Heredia,ADJUSTMENT,-1
TRX-00430,2026-09-05T06:22:00,P4001,San Jose,SALE,7
TRX-00431,2026-08-16T02:59:00,P2001,Cartago,RECEIPT,15
TRX-00432,2026-08-10T11:12:00,P4001,Heredia,SALE,8
TRX-00433,2026-08-07T04:06:00,P2001,Heredia,ADJUSTMENT,-1
TRX-00434,2026-08-03T11:42:00,P4002,Heredia,SALE,4
TRX-00435,2026-08-05T14:26:00,P1004,Cartago,SALE,1
TRX-00436,2026-08-01T13:35:00,P4002,San Jose,SALE,3
TRX-00437,2026-08-21T16:41:00,P2003,San Jose,SALE,8
TRX-00438,2026-08-13T12:41:00,P4003,San Jose,ADJUSTMENT,0
TRX-00439,2026-08-24T03:47:00,P5002,Heredia,SALE,4
TRX-00440,2026-08-19T03:56:00,P5001,San Jose,ADJUSTMENT,-3
TRX-00441,2026-09-03T22:31:00,P5002,San Jose,ADJUSTMENT,1
TRX-00442,2026-09-07T17:02:00,P5002,San Jose,SALE,5
TRX-00443,2026-09-09T22:21:00,P2001,Cartago,SALE,2
TRX-00444,2026-08-23T16:31:00,P3001,San Jose,ADJUSTMENT,3
TRX-00445,2026-08-09T13:51:00,P5001,San Jose,SALE,5
TRX-00446,2026-08-28T23:16:00,P2002,Heredia,RECEIPT,39
TRX-00447,2026-09-04T01:18:00,P1003,Heredia,RECEIPT,31
TRX-00448,2026-08-27T09:54:00,P4001,Heredia,SALE,3
TRX-00449,2026-08-23T07:20:00,P5002,San Jose,SALE,7
TRX-00450,2026-08-07T07:30:00,P2003,Cartago,SALE,3
TRX-00451,2026-08-17T16:15:00,P5002,Cartago,RECEIPT,26
TRX-00452,2026-08-14T05:37:00,P4003,Heredia,SALE,6
TRX-00453,2026-08-30T21:15:00,P3003,San Jose,RECEIPT,33
TRX-00454,2026-08-08T03:25:00,P4001,Heredia,RECEIPT,29
TRX-00455,2026-08-30T18:07:00,P3002,Heredia,ADJUSTMENT,-1
TRX-00456,2026-08-27T13:14:00,P5002,San Jose,ADJUSTMENT,0
TRX-00457,2026-09-02T05:38:00,P1003,Cartago,SALE,8
TRX-00458,2026-09-02T15:34:00,P2003,Heredia,SALE,8
TRX-00459,2026-08-30T08:48:00,P5001,Heredia,RECEIPT,25
TRX-00460,2026-08-23T20:45:00,P5001,Cartago,SALE,8
TRX-00461,2026-08-03T23:53:00,P1002,Heredia,ADJUSTMENT,-4
TRX-00462,2026-08-08T08:20:00,P5002,Heredia,SALE,3
TRX-00463,2026-08-31T22:37:00,P3001,Cartago,RECEIPT,23
TRX-00464,2026-09-04T20:03:00,P1002,Cartago,RETURN,4
TRX-00465,2026-08-25T09:03:00,P1003,Heredia,SALE,8
TRX-00466,2026-09-01T04:01:00,P3001,Cartago,SALE,5
TRX-00467,2026-08-26T00:04:00,P2001,San Jose,RETURN,2
TRX-00468,2026-08-24T10:03:00,P2003,San Jose,SALE,2
TRX-00469,2026-08-18T18:11:00,P5002,San Jose,SALE,5
TRX-00470,2026-08-17T07:57:00,P4003,Cartago,SALE,7
TRX-00471,2026-08-17T08:05:00,P3001,Heredia,RETURN,4
TRX-00472,2026-08-29T05:55:00,P4001,Cartago,RETURN,2
TRX-00473,2026-08-18T02:33:00,P1002,San Jose,RECEIPT,44
TRX-00474,2026-09-02T14:01:00,P4002,Cartago,ADJUSTMENT,-5
TRX-00475,2026-08-24T00:24:00,P3001,San Jose,SALE,7
TRX-00476,2026-08-13T02:12:00,P1004,Heredia,SALE,3
TRX-00477,2026-08-27T13:49:00,P4003,San Jose,RECEIPT,36
TRX-00478,2026-08-26T16:02:00,P1004,Cartago,RECEIPT,16
TRX-00479,2026-08-11T18:47:00,P3003,San Jose,SALE,1
TRX-00480,2026-09-02T12:55:00,P2003,San Jose,SALE,4
TRX-00481,2026-08-11T07:52:00,P1003,Heredia,SALE,5
TRX-00482,2026-08-11T10:19:00,P3003,San Jose,SALE,6
TRX-00483,2026-08-14T03:17:00,P4001,San Jose,SALE,7
TRX-00484,2026-08-28T01:43:00,P3002,Cartago,ADJUSTMENT,-3
TRX-00485,2026-09-10T12:41:00,P3002,Heredia,SALE,6
TRX-00486,2026-08-31T01:26:00,P2003,Cartago,SALE,6
TRX-00487,2026-09-02T12:34:00,P1003,Cartago,SALE,3
TRX-00488,2026-09-06T22:45:00,P1004,San Jose,RETURN,3
TRX-00489,2026-08-25T07:26:00,P4003,Cartago,SALE,1
TRX-00490,2026-08-11T16:16:00,P3002,San Jose,SALE,7
TRX-00491,2026-09-06T11:23:00,P2002,San Jose,SALE,8
TRX-00492,2026-08-03T12:17:00,P3002,Cartago,SALE,4
TRX-00493,2026-09-07T14:04:00,P4001,San Jose,SALE,1
TRX-00494,2026-08-21T18:13:00,P4003,Cartago,SALE,4
TRX-00495,2026-08-10T08:59:00,P2001,San Jose,ADJUSTMENT,-5
TRX-00496,2026-09-09T08:15:00,P4002,Heredia,RECEIPT,40
TRX-00497,2026-09-09T09:15:00,P3003,Heredia,SALE,7
TRX-00498,2026-08-21T05:34:00,P2002,Heredia,SALE,7
TRX-00499,2026-08-23T05:56:00,P2002,Cartago,SALE,6
TRX-00500,2026-09-02T19:53:00,P3001,Cartago,RECEIPT,40
